bin_start,bin_break,bin_index,frequency,site,year
3,4.5,3,0.12436778543870083,HR14,2015
4.5,6,4,0.15534718770292888,HR14,2015
6,7.5,5,0.20487593212689018,HR14,2015
7.5,9,6,0.14894516207021397,HR14,2015
9,10.5,7,0.04111454072194476,HR14,2015
10.5,12,8,0.0030492043696158534,HR14,2015
12,13.5,9,NA,HR14,2015
13.5,15,10,NA,HR14,2015
15,16.5,11,NA,HR14,2015
16.5,18,12,NA,HR14,2015
18,19.5,13,NA,HR14,2015
19.5,21,14,NA,HR14,2015
21,22.5,15,NA,HR14,2015
22.5,24,16,NA,HR14,2015
24,25.5,17,NA,HR14,2015
25.5,27,18,NA,HR14,2015
27,28.5,19,NA,HR14,2015
28.5,30,20,NA,HR14,2015
0,1.5,1,0.14007949698867903,HR15,2015
1.5,3,2,0.22725686342083087,HR15,2015
3,4.5,3,0.1293490201761719,HR15,2015
4.5,6,4,0.13412908461521028,HR15,2015
6,7.5,5,0.158119858613932,HR15,2015
7.5,9,6,0.1349462664373975,HR15,2015
9,10.5,7,0.06365176084945767,HR15,2015
10.5,12,8,0.011750575697012192,HR15,2015
12,13.5,9,7.170732013085792e-4,HR15,2015
13.5,15,10,NA,HR15,2015
15,16.5,11,NA,HR15,2015
16.5,18,12,NA,HR15,2015
18,19.5,13,NA,HR15,2015
19.5,21,14,NA,HR15,2015
21,22.5,15,NA,HR15,2015
22.5,24,16,NA,HR15,2015
24,25.5,17,NA,HR15,2015
25.5,27,18,NA,HR15,2015
27,28.5,19,NA,HR15,2015
28.5,30,20,NA,HR15,2015
0,1.5,1,0.13344347998011416,SP 1,2015
1.5,3,2,0.29946147259598144,SP 1,2015
3,4.5,3,0.21660764103152835,SP 1,2015
4.5,6,4,0.1572973130983364,SP 1,2015
6,7.5,5,0.09992624455188803,SP 1,2015
7.5,9,6,0.057296839198651084,SP 1,2015
9,10.5,7,0.027923957026322145,SP 1,2015
10.5,12,8,0.007929078312181401,SP 1,2015
12,13.5,9,1.1397420499701513e-4,SP 1,2015
13.5,15,10,NA,SP 1,2015
15,16.5,11,NA,SP 1,2015
16.5,18,12,NA,SP 1,2015
18,19.5,13,NA,SP 1,2015
19.5,21,14,NA,SP 1,2015
21,22.5,15,NA,SP 1,2015
22.5,24,16,NA,SP 1,2015
24,25.5,17,NA,SP 1,2015
25.5,27,18,NA,SP 1,2015
27,28.5,19,NA,SP 1,2015
28.5,30,20,NA,SP 1,2015
0,1.5,1,0.23140440177188287,SP 2,2015
1.5,3,2,0.36674494180211226,SP 2,2015
3,4.5,3,0.1912950106098145,SP 2,2015
4.5,6,4,0.10781636488353895,SP 2,2015
6,7.5,5,0.057132962772782,SP 2,2015
7.5,9,6,0.033014194512230026,SP 2,2015
9,10.5,7,0.010648557241325326,SP 2,2015
10.5,12,8,0.0019435664063140574,SP 2,2015
12,13.5,9,NA,SP 2,2015
13.5,15,10,NA,SP 2,2015
15,16.5,11,NA,SP 2,2015
16.5,18,12,NA,SP 2,2015
18,19.5,13,NA,SP 2,2015
19.5,21,14,NA,SP 2,2015
21,22.5,15,NA,SP 2,2015
22.5,24,16,NA,SP 2,2015
24,25.5,17,NA,SP 2,2015
25.5,27,18,NA,SP 2,2015
27,28.5,19,NA,SP 2,2015
28.5,30,20,NA,SP 2,2015
0,1.5,1,0.07055323006195116,SP 3,2015
1.5,3,2,0.14266438640009405,SP 3,2015
3,4.5,3,0.17345438861853407,SP 3,2015
4.5,6,4,0.17599834324549157,SP 3,2015
6,7.5,5,0.15663167152303376,SP 3,2015
7.5,9,6,0.12686060585601508,SP 3,2015
9,10.5,7,0.08289033801040305,SP 3,2015
10.5,12,8,0.04374281986069576,SP 3,2015
12,13.5,9,0.018748743801377202,SP 3,2015
13.5,15,10,0.0077338279874728695,SP 3,2015
15,16.5,11,7.216446349314287e-4,SP 3,2015
16.5,18,12,NA,SP 3,2015
18,19.5,13,NA,SP 3,2015
19.5,21,14,NA,SP 3,2015
21,22.5,15,NA,SP 3,2015
22.5,24,16,NA,SP 3,2015
24,25.5,17,NA,SP 3,2015
25.5,27,18,NA,SP 3,2015
27,28.5,19,NA,SP 3,2015
28.5,30,20,NA,SP 3,2015
0,1.5,1,0.1519875965149281,SP 4,2015
1.5,3,2,0.3117727586915738,SP 4,2015
3,4.5,3,0.20930397457235161,SP 4,2015
4.5,6,4,0.16836642293369972,SP 4,2015
6,7.5,5,0.09280693880854513,SP 4,2015
7.5,9,6,0.048276075464594226,SP 4,2015
9,10.5,7,0.013324403513203664,SP 4,2015
10.5,12,8,0.0036166491356326796,SP 4,2015
12,13.5,9,5.451803654710669e-4,SP 4,2015
13.5,15,10,NA,SP 4,2015
15,16.5,11,NA,SP 4,2015
16.5,18,12,NA,SP 4,2015
18,19.5,13,NA,SP 4,2015
19.5,21,14,NA,SP 4,2015
21,22.5,15,NA,SP 4,2015
22.5,24,16,NA,SP 4,2015
24,25.5,17,NA,SP 4,2015
25.5,27,18,NA,SP 4,2015
27,28.5,19,NA,SP 4,2015
28.5,30,20,NA,SP 4,2015
0,1.5,1,0.09162135636068451,SP 5,2015
1.5,3,2,0.1572549781984716,SP 5,2015
3,4.5,3,0.16533449348691942,SP 5,2015
4.5,6,4,0.17016321096407552,SP 5,2015
6,7.5,5,0.15839778129474374,SP 5,2015
7.5,9,6,0.12538893618022082,SP 5,2015
9,10.5,7,0.07225948784300928,SP 5,2015
10.5,12,8,0.03586473062791811,SP 5,2015
12,13.5,9,0.018370008733707963,SP 5,2015
13.5,15,10,0.004512474229986917,SP 5,2015
15,16.5,11,5.98414323603628e-4,SP 5,2015
16.5,18,12,2.179810156948634e-4,SP 5,2015
18,19.5,13,1.6146740963598394e-5,SP 5,2015
19.5,21,14,NA,SP 5,2015
21,22.5,15,NA,SP 5,2015
22.5,24,16,NA,SP 5,2015
24,25.5,17,NA,SP 5,2015
25.5,27,18,NA,SP 5,2015
27,28.5,19,NA,SP 5,2015
28.5,30,20,NA,SP 5,2015
0,1.5,1,0.05143706715552697,SP 6,2015
1.5,3,2,0.11284360857611161,SP 6,2015
3,4.5,3,0.12020612180669003,SP 6,2015
4.5,6,4,0.1894904900262474,SP 6,2015
6,7.5,5,0.2314860249334746,SP 6,2015
7.5,9,6,0.17990746284671344,SP 6,2015
9,10.5,7,0.08580746101073987,SP 6,2015
10.5,12,8,0.022554317234482372,SP 6,2015
12,13.5,9,0.005266154644682155,SP 6,2015
13.5,15,10,0.0010012917653315788,SP 6,2015
15,16.5,11,NA,SP 6,2015
16.5,18,12,NA,SP 6,2015
18,19.5,13,NA,SP 6,2015
19.5,21,14,NA,SP 6,2015
21,22.5,15,NA,SP 6,2015
22.5,24,16,NA,SP 6,2015
24,25.5,17,NA,SP 6,2015
25.5,27,18,NA,SP 6,2015
27,28.5,19,NA,SP 6,2015
28.5,30,20,NA,SP 6,2015
0,1.5,1,0.1903630772346665,SP 7,2015
1.5,3,2,0.20033308541473246,SP 7,2015
3,4.5,3,0.2140272087280229,SP 7,2015
4.5,6,4,0.1700705860802053,SP 7,2015
6,7.5,5,0.10056353217379106,SP 7,2015
7.5,9,6,0.06133894196393914,SP 7,2015
9,10.5,7,0.03633099010674839,SP 7,2015
10.5,12,8,0.01975204398025396,SP 7,2015
12,13.5,9,0.006947974455994367,SP 7,2015
13.5,15,10,2.725598616458849e-4,SP 7,2015
15,16.5,11,NA,SP 7,2015
16.5,18,12,NA,SP 7,2015
18,19.5,13,NA,SP 7,2015
19.5,21,14,NA,SP 7,2015
21,22.5,15,NA,SP 7,2015
22.5,24,16,NA,SP 7,2015
24,25.5,17,NA,SP 7,2015
25.5,27,18,NA,SP 7,2015
27,28.5,19,NA,SP 7,2015
28.5,30,20,NA,SP 7,2015
0,1.5,1,0.03302016517713726,SP 8,2015
1.5,3,2,0.12157063163044375,SP 8,2015
3,4.5,3,0.16657432031706718,SP 8,2015
4.5,6,4,0.1918363535948663,SP 8,2015
6,7.5,5,0.1989218918450345,SP 8,2015
7.5,9,6,0.1533494229558112,SP 8,2015
9,10.5,7,0.08969097231940612,SP 8,2015
10.5,12,8,0.0356170425623617,SP 8,2015
12,13.5,9,0.008015758701681771,SP 8,2015
13.5,15,10,0.0012866510057740566,SP 8,2015
15,16.5,11,1.1678989041613282e-4,SP 8,2015
16.5,18,12,NA,SP 8,2015
18,19.5,13,NA,SP 8,2015
19.5,21,14,NA,SP 8,2015
21,22.5,15,NA,SP 8,2015
22.5,24,16,NA,SP 8,2015
24,25.5,17,NA,SP 8,2015
25.5,27,18,NA,SP 8,2015
27,28.5,19,NA,SP 8,2015
28.5,30,20,NA,SP 8,2015
0,1.5,1,0.05085756829645895,SP 9,2015
1.5,3,2,0.12111630361107037,SP 9,2015
3,4.5,3,0.13561433371285103,SP 9,2015
4.5,6,4,0.1724824488914204,SP 9,2015
6,7.5,5,0.19786935625828156,SP 9,2015
7.5,9,6,0.1811112618831886,SP 9,2015
9,10.5,7,0.10130838536620376,SP 9,2015
10.5,12,8,0.028023144678044617,SP 9,2015
12,13.5,9,0.00799082534329229,SP 9,2015
13.5,15,10,0.00349690913832903,SP 9,2015
15,16.5,11,1.2946282085938172e-4,SP 9,2015
16.5,18,12,NA,SP 9,2015
18,19.5,13,NA,SP 9,2015
19.5,21,14,NA,SP 9,2015
21,22.5,15,NA,SP 9,2015
22.5,24,16,NA,SP 9,2015
24,25.5,17,NA,SP 9,2015
25.5,27,18,NA,SP 9,2015
27,28.5,19,NA,SP 9,2015
28.5,30,20,NA,SP 9,2015
0,1.5,1,0.01304565193397129,SP10,2015
1.5,3,2,0.03519775892428112,SP10,2015
3,4.5,3,0.06935220789852294,SP10,2015
4.5,6,4,0.09754823585365253,SP10,2015
6,7.5,5,0.13885458885137192,SP10,2015
7.5,9,6,0.22217517339835513,SP10,2015
9,10.5,7,0.28647090851467155,SP10,2015
10.5,12,8,0.12957561433229128,SP10,2015
12,13.5,9,0.007779860292882268,SP10,2015
13.5,15,10,NA,SP10,2015
15,16.5,11,NA,SP10,2015
16.5,18,12,NA,SP10,2015
18,19.5,13,NA,SP10,2015
19.5,21,14,NA,SP10,2015
21,22.5,15,NA,SP10,2015
22.5,24,16,NA,SP10,2015
24,25.5,17,NA,SP10,2015
25.5,27,18,NA,SP10,2015
27,28.5,19,NA,SP10,2015
28.5,30,20,NA,SP10,2015
0,1.5,1,0.14436647981058592,SP11,2015
1.5,3,2,0.36444894357319985,SP11,2015
3,4.5,3,0.242083296260134,SP11,2015
4.5,6,4,0.12272978336310643,SP11,2015
6,7.5,5,0.06114755663021487,SP11,2015
7.5,9,6,0.037942538021584066,SP11,2015
9,10.5,7,0.019609210613318,SP11,2015
10.5,12,8,0.006440469333467491,SP11,2015
12,13.5,9,0.0011331379061003675,SP11,2015
13.5,15,10,9.858448828901093e-5,SP11,2015
15,16.5,11,NA,SP11,2015
16.5,18,12,NA,SP11,2015
18,19.5,13,NA,SP11,2015
19.5,21,14,NA,SP11,2015
21,22.5,15,NA,SP11,2015
22.5,24,16,NA,SP11,2015
24,25.5,17,NA,SP11,2015
25.5,27,18,NA,SP11,2015
27,28.5,19,NA,SP11,2015
28.5,30,20,NA,SP11,2015
0,1.5,1,0.06121427380440775,SP12,2015
1.5,3,2,0.1173393314005569,SP12,2015
3,4.5,3,0.0784273287692293,SP12,2015
4.5,6,4,0.08983198467676733,SP12,2015
6,7.5,5,0.1301831449062666,SP12,2015
7.5,9,6,0.1614131702471698,SP12,2015
9,10.5,7,0.1418076421127719,SP12,2015
10.5,12,8,0.10450828257810198,SP12,2015
12,13.5,9,0.06477410626959987,SP12,2015
13.5,15,10,0.03565637795124496,SP12,2015
15,16.5,11,0.013997711680354758,SP12,2015
16.5,18,12,8.466456035288793e-4,SP12,2015
18,19.5,13,NA,SP12,2015
19.5,21,14,NA,SP12,2015
21,22.5,15,NA,SP12,2015
22.5,24,16,NA,SP12,2015
24,25.5,17,NA,SP12,2015
25.5,27,18,NA,SP12,2015
27,28.5,19,NA,SP12,2015
28.5,30,20,NA,SP12,2015
0,1.5,1,0.051124212378981605,SP13,2015
1.5,3,2,0.1266136963387299,SP13,2015
3,4.5,3,0.13498583720627177,SP13,2015
4.5,6,4,0.11623744024563618,SP13,2015
6,7.5,5,0.10994484207664007,SP13,2015
7.5,9,6,0.11037668591596267,SP13,2015
9,10.5,7,0.1136369601917428,SP13,2015
10.5,12,8,0.08996710214697111,SP13,2015
12,13.5,9,0.06434064991989484,SP13,2015
13.5,15,10,0.046773826105502216,SP13,2015
15,16.5,11,0.02020911518297168,SP13,2015
16.5,18,12,0.006380627531428715,SP13,2015
18,19.5,13,0.006448680968400137,SP13,2015
19.5,21,14,0.002861082982434677,SP13,2015
21,22.5,15,9.92408084316299e-5,SP13,2015
22.5,24,16,NA,SP13,2015
24,25.5,17,NA,SP13,2015
25.5,27,18,NA,SP13,2015
27,28.5,19,NA,SP13,2015
28.5,30,20,NA,SP13,2015
0,1.5,1,0.14964556961847275,SP14,2015
1.5,3,2,0.22632790311120618,SP14,2015
3,4.5,3,0.14089908887686942,SP14,2015
4.5,6,4,0.09721556191208129,SP14,2015
6,7.5,5,0.09998389916866834,SP14,2015
7.5,9,6,0.0897394406817032,SP14,2015
9,10.5,7,0.07486073556147615,SP14,2015
10.5,12,8,0.050020129851178305,SP14,2015
12,13.5,9,0.03579634602540606,SP14,2015
13.5,15,10,0.01993319770623353,SP14,2015
15,16.5,11,0.008648791430288393,SP14,2015
16.5,18,12,0.006714216119003945,SP14,2015
18,19.5,13,2.1511993741245013e-4,SP14,2015
19.5,21,14,NA,SP14,2015
21,22.5,15,NA,SP14,2015
22.5,24,16,NA,SP14,2015
24,25.5,17,NA,SP14,2015
25.5,27,18,NA,SP14,2015
27,28.5,19,NA,SP14,2015
28.5,30,20,NA,SP14,2015
0,1.5,1,0.18290488053543363,SP15,2015
1.5,3,2,0.22549400434564612,SP15,2015
3,4.5,3,0.11452778324811536,SP15,2015
4.5,6,4,0.10375427369088458,SP15,2015
6,7.5,5,0.09989667169992304,SP15,2015
7.5,9,6,0.09102057208038117,SP15,2015
9,10.5,7,0.06900069608853873,SP15,2015
10.5,12,8,0.060423616175387954,SP15,2015
12,13.5,9,0.04081119368309208,SP15,2015
13.5,15,10,0.011970177062093027,SP15,2015
15,16.5,11,1.9613139050429255e-4,SP15,2015
16.5,18,12,NA,SP15,2015
18,19.5,13,NA,SP15,2015
19.5,21,14,NA,SP15,2015
21,22.5,15,NA,SP15,2015
22.5,24,16,NA,SP15,2015
24,25.5,17,NA,SP15,2015
25.5,27,18,NA,SP15,2015
27,28.5,19,NA,SP15,2015
