bin_index,count,bin_start,bin_end,year,frequency,site
2,350,2,4,2018,0.04455193482688391,SP 5
3,779,4,6,2018,0.09915987780040733,SP 5
4,1203,6,8,2018,0.15313136456211812,SP 5
5,2039,8,10,2018,0.2595468431771894,SP 5
6,1785,10,12,2018,0.22721486761710794,SP 5
7,1000,12,14,2018,0.12729124236252545,SP 5
8,390,14,16,2018,0.049643584521384926,SP 5
9,15,16,18,2018,0.0019093686354378818,SP 5
NA,5,NA,NA,2018,6.364562118126273e-4,SP 5
1,20,0,2,2018,0.002546148949713558,SP 6
2,485,2,4,2018,0.061744112030553785,SP 6
3,499,4,6,2018,0.06352641629535327,SP 6
4,1640,6,8,2018,0.20878421387651178,SP 6
5,2786,8,10,2018,0.3546785486950987,SP 6
6,2129,10,12,2018,0.27103755569700827,SP 6
7,247,12,14,2018,0.03144493952896244,SP 6
8,49,14,16,2018,0.006238064926798218,SP 6
1,1478,0,2,2018,0.18813645621181263,SP 7
2,234,2,4,2018,0.02978615071283096,SP 7
3,814,4,6,2018,0.10361507128309572,SP 7
4,2762,6,8,2018,0.35157841140529533,SP 7
5,1800,8,10,2018,0.22912423625254583,SP 7
6,576,10,12,2018,0.07331975560081466,SP 7
7,106,12,14,2018,0.0134928716904277,SP 7
8,86,14,16,2018,0.01094704684317719,SP 7
1,28,0,2,2018,0.003563247645711377,SP 8
2,175,2,4,2018,0.022270297785696107,SP 8
3,1036,4,6,2018,0.13184016289132094,SP 8
4,2288,6,8,2018,0.2911682361924154,SP 8
5,2479,8,10,2018,0.31547467548994657,SP 8
6,1388,10,12,2018,0.17663527615169256,SP 8
7,412,12,14,2018,0.05243064392975312,SP 8
8,52,14,16,2018,0.006617459913463986,SP 8
1,136,0,2,2018,0.017322634059355496,SP 9
2,292,2,4,2018,0.03719271430391033,SP 9
3,655,4,6,2018,0.0834288625652783,SP 9
4,1204,6,8,2018,0.15335626034900013,SP 9
5,1870,8,10,2018,0.23818621831613807,SP 9
6,2324,10,12,2018,0.29601324672016305,SP 9
7,1100,12,14,2018,0.14010954018596358,SP 9
8,265,14,16,2018,0.03375366195389123,SP 9
9,5,16,18,2018,6.368615462998344e-4,SP 9
1,194,0,2,2018,0.02469450101832994,SP10
2,421,2,4,2018,0.053589613034623215,SP10
3,997,4,6,2018,0.1269093686354379,SP10
4,1213,6,8,2018,0.15440427698574338,SP10
5,2004,8,10,2018,0.25509164969450104,SP10
6,2249,10,12,2018,0.28627800407331977,SP10
7,778,12,14,2018,0.09903258655804481,SP10
1,771,0,2,2018,0.09814154786150713,SP11
2,2006,2,4,2018,0.2553462321792261,SP11
3,3157,4,6,2018,0.40185845213849286,SP11
4,1108,6,8,2018,0.1410386965376782,SP11
5,516,8,10,2018,0.06568228105906314,SP11
6,278,10,12,2018,0.03538696537678208,SP11
7,20,12,14,2018,0.0025458248472505093,SP11
1,2285,0,2,2018,0.2911940869121957,SP12
2,712,2,4,2018,0.09073531285841722,SP12
3,428,4,6,2018,0.0545431375047789,SP12
4,518,6,8,2018,0.06601248884924175,SP12
5,1021,8,10,2018,0.13011341914107302,SP12
6,1665,10,12,2018,0.21218299987256276,SP12
7,661,12,14,2018,0.08423601376322161,SP12
8,315,14,16,2018,0.04014272970561998,SP12
9,229,16,18,2018,0.029183127309799925,SP12
10,1,18,20,2018,1.2743723716069835e-4,SP12
NA,12,NA,NA,2018,0.0015292468459283802,SP12
1,304,0,2,2018,0.03871132051445308,SP13
2,636,2,4,2018,0.08098815739207946,SP13
3,948,4,6,2018,0.12071819686743919,SP13
4,942,6,8,2018,0.1199541576467592,SP13
5,742,8,10,2018,0.09448618362409271,SP13
6,878,10,12,2018,0.11180440595950591,SP13
7,846,12,14,2018,0.10772953011587928,SP13
8,967,14,16,2018,0.12313765439959251,SP13
9,1204,16,18,2018,0.15331720361645232,SP13
10,386,18,20,2018,0.04915318986374634,SP13
1,3469,0,2,2018,0.441685765215177,SP14
2,1483,2,4,2018,0.18882098293863,SP14
3,1485,4,6,2018,0.18907563025210083,SP14
4,755,6,8,2018,0.09612936083524319,SP14
5,240,8,10,2018,0.030557677616501147,SP14
6,124,10,12,2018,0.01578813343519226,SP14
7,41,12,14,2018,0.0052202699261522795,SP14
8,76,14,16,2018,0.00967659791189203,SP14
9,71,16,18,2018,0.009039979628214923,SP14
10,101,18,20,2018,0.012859689330277566,SP14
NA,9,NA,NA,2018,0.001145912910618793,SP14
1,4021,0,2,2018,0.5119684237331296,SP15
2,1523,2,4,2018,0.19391392920804684,SP15
3,631,4,6,2018,0.08034122740005092,SP15
4,365,6,8,2018,0.04647313470842883,SP15
5,399,8,10,2018,0.05080213903743316,SP15
6,375,10,12,2018,0.04774637127578304,SP15
7,334,12,14,2018,0.04252610134963076,SP15
8,205,14,16,2018,0.026101349630761394,SP15
9,1,16,18,2018,1.2732365673542143e-4,SP15
